он,сар,бараа,үнэ,нэгж
2026,7,"Жонш, хүдэр ФК-85",425.0,ам.долл/тн
2026,7,Зэс,13524.52,ам.долл/тн
2026,7,"Манган, 36%",193.9,ам.долл/тн
2026,7,Молибдени,70211.4,ам.долл/тн
2026,7,Мөнгө,58.8,ам.долл/унци
2026,7,"Төмөр, 56% хүдэр",59.67,ам.долл/тн
2026,7,"Төмөр, 60% баяжмал",86.21,ам.долл/тн
2026,7,Уран,190.43,ам.долл/кг
2026,7,Хар тугалга,1843.55,ам.долл/тн
2026,7,Цагаан тугалга,53088.8,ам.долл/тн
2026,7,Цайр,3595.53,ам.долл/тн
